sampleid,sample,lake,year,taxa,count,sample_area_m2,gear,combined_sites,density
P20036213001,1,36,2020,Sphaeriidae,1,0.104,Ponar,2,9.615384615
P20036213002,2,36,2020,Sphaeriidae,2,0.104,Ponar,2,19.23076923
P20090205002,2,90,2020,Sphaeriidae,2,0.104,Ponar,2,19.23076923
P20090205003,3,90,2020,Sphaeriidae,1,0.104,Ponar,2,9.615384615
P20090205005,5,90,2020,Sphaeriidae,1,0.104,Ponar,2,9.615384615
P18105163007,7,105,2018,Sphaeriidae,1,0.023,Ekman,NA,43.47826087
P19105204005,5,105,2019,Sphaeriidae,3,0.104,Ponar,2,28.84615385
P20105212001,1,105,2020,Sphaeriidae,31,0.26,Ponar,5,119.2307692
P20105212002,2,105,2020,Sphaeriidae,4,0.26,Ponar,5,15.38461538
P18113179001,1,113,2018,Sphaeriidae,2,0.023,Ekman,NA,86.95652174
P18113179003,3,113,2018,Sphaeriidae,2,0.023,Ekman,NA,86.95652174
P19113197005,5,113,2019,Sphaeriidae,1,0.052,Ponar,NA,19.23076923
P20113206003,3,113,2020,Sphaeriidae,1,0.156,Ponar,3,6.41025641
P20113206004,4,113,2020,Sphaeriidae,14,0.104,Ponar,2,134.6153846
P20113206005,5,113,2020,Sphaeriidae,8,0.104,Ponar,2,76.92307692
P18406184008,8,406,2018,Sphaeriidae,2,0.023,Ekman,NA,86.95652174
P19406226002,2,406,2019,Sphaeriidae,1,0.104,Ponar,2,9.615384615
P19105204001,1,105,2019,Sphaeriidae ,4,0.104,Ponar,2,38.46153846
P19113197001,1,113,2019,Sphaeriidae ,1,0.052,Ponar,NA,19.23076923
P19113197004,4,113,2019,Sphaeriidae ,8,0.052,Ponar,NA,153.8461538
P19113197008,8,113,2019,Sphaeriidae ,7,0.052,Ponar,NA,134.6153846
P20113206001,1,113,2020,Sphaeriidae ,1,0.156,Ponar,3,6.41025641
P18036163009A,9,36,2018,Trichoptera,1,0.023,Ekman,NA,130.4348
P20036213004,4,36,2020,Trichoptera,1,0.104,Ponar,2,9.615384615
P18090183009,9,90,2018,Trichoptera,1,0.023,Ekman,NA,43.47826087
P18105163002,2,105,2018,Trichoptera,1,0.023,Ekman,NA,43.47826087
P19113197008,8,113,2019,Trichoptera,1,0.052,Ponar,NA,19.23076923
P20113206005,5,113,2020,Trichoptera,1,0.104,Ponar,2,9.615384615
P19036204001,1,36,2019,Unionoida,1,0.104,Ponar,2,9.615384615
P18105163010,10,105,2018,Unionoida,3,0.023,Ekman,NA,130.4347826
P18113179006,6,113,2018,Unionoida,1,0.023,Ekman,NA,43.47826087
P18113179009,9,113,2018,Unionoida,2,0.023,Ekman,NA,86.95652174
